# Fixtures both compilers accept and run, to different stdout. Found by
# scripts/sweep-assets-mojo --compare; none is a conformance/cases.tsv row, so
# none is a regression — this is behavior that was simply never oracled.
#
# family: float-format (the Rust float rendering the roadmap's Dragonbox port
# replaces), arithmetic (a different computed value), drop-timing (a missing
# or reordered destructor), one-off.
fixture	family	divergence
assets/ok/nominal_string_atof_rounding.mojo	float-format	Mojo writes the exponent sign: 1e+23 where Mojito writes 1e23
assets/ok/pliron_float32_semantics.mojo	float-format	Float32 renders at its own precision upstream (0.1), at double precision in Mojito (0.10000000149011612)
assets/ok/simd_float_div.mojo	float-format	Float32 lanes, same shape as pliron_float32_semantics
assets/ok/simd_cast_matrix.mojo	float-format	Float32 lanes plus exponent-sign differences
assets/ok/simd_reductions_float.mojo	float-format	Float32 lanes plus exponent-sign differences
assets/ok/pliron_straightline.mojo	arithmetic	a shift past the bit width: Mojo prints 7, Mojito 51102306
assets/ok/simd_shifts_masked.mojo	arithmetic	vector shifts disagree wholesale, including shifts past the lane width
assets/ok/simd_floordiv_mod.mojo	arithmetic	signed floordiv at the type minimum: Mojo 0, Mojito -128
assets/ok/pliron_builtin_numeric_edges.mojo	arithmetic	round() half-way case: Mojo 2.0/-2.0, Mojito 3.0/-3.0
assets/ok/pliron_convert_uint.mojo	arithmetic	Mojo prints 29, Mojito 31
assets/ok/pliron_scalar_casts.mojo	arithmetic	out-of-range float-to-int casts: Mojo 0, Mojito 44
assets/ok/pliron_float_pow.mojo	arithmetic	Float64 **: Mojo 1026.0000000000005, Mojito 1026.0
assets/ok/maybe_uninit_roundtrip.mojo	drop-timing	Mojito never runs one destructor (`deinit 6` is missing)
assets/ok/pliron_uninit_roundtrip.mojo	drop-timing	Mojito never runs three destructors
assets/ok/owned_pointer_api.mojo	drop-timing	a destructor runs later in Mojito than upstream
assets/ok/try_region_drop_timing.mojo	drop-timing	destructors in a try region run later in Mojito than upstream
assets/ok/nominal_string_indexing.mojo	one-off	String subscript yields a character upstream (h), an Int in Mojito (104)
assets/ok/self_hosted_dict.mojo	one-off	the raised-error text differs: DictKeyError[String]() vs "missing key"
assets/ok/type_names_applied_elements.mojo	one-off	reflection prints <unprintable> upstream where Mojito prints the element types
