# The pinned Mojo's verdict on every fixture in the assets/ error folders,
# the oracle scripts/sweep-assets-mojo --errors gates against.
#
# An error fixture is rejected by both compilers, so an exit code proves
# nothing. Agreement here is the VERDICT: the pin must reject what the four
# compile-error folders claim it rejects, and must compile-and-trap what
# runtime_error claims. Mojito's own message is never compared with the pin's —
# it carries no source location outside the parser, and the two wordings differ
# for most fixtures by design. tests/corpus_test.rs owns Mojito's side through
# each fixture's `# expect:` directive; this file owns the pin's side only.
#
# verdict:  compile-reject  the pin refused to compile it
#           trap            the pin compiled it and it failed at run time
#           runs            the pin compiled it and it exited 0
#           timeout         the pin did not finish inside 60s
#
# family:   agree           the verdict matches the folder, on the same defect
#           a burn-down name (self-qualification, missing-import,
#                           iterator-protocol, unbound-parameter, no-main,
#                           alias-keyword, ledgered) — the pin rejected it, but
#                           for a spelling the fixture never set out to test, so
#                           the defect it pins went unexamined. The names are
#                           the ones conformance/assets-mojo-rejects.tsv uses.
#           subset          the pin accepts it and Mojito is deliberately
#                           stricter (docs/non-goals.md)
#           divergence      the pin accepts it and Mojito should not reject it,
#                           or not for that reason (docs/roadmap.md)
#           skip            not comparable under this oracle
#
# upstream: for compile-reject and trap, the pin's own first complaint, which
# the sweep re-checks so a re-pin's rewording or an earlier complaint shows up;
# for runs, a one-line note on what Mojito rejects instead.
#
# Lifting a mask moves a row to another family rather than closing it: the pin
# reports one complaint at a time.
# swept-count	318
fixture	verdict	family	upstream
assets/origin_error/for_ref_binding_escapes_local_source.mojo	compile-reject	agree	error: cannot return reference with incompatible origin: 'origin_of(local)' vs 'origin_of(values["element"])'
assets/origin_error/immutable_write.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/origin_error/pointer_loan_conflict.mojo	runs	subset	the pin runs it; Mojito rejects: conflicts with live reference
assets/origin_error/pointer_write_immutable.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/origin_error/projected_origin_mismatch.mojo	compile-reject	agree	error: cannot return reference with incompatible origin: 'origin_of(self.right)' vs 'origin_of(self.left)'
assets/origin_error/returned_loan_conflict.mojo	runs	subset	the pin runs it; Mojito rejects a returned loan that conflicts with a live reference
assets/origin_error/returned_local.mojo	compile-reject	agree	error: cannot return reference with incompatible origin: 'origin_of(local)' vs 'origin_of(source)'
assets/origin_error/returned_pointer_deref_immutable_write.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/ownership_error/assign_call_over_viewed_local.mojo	compile-reject	agree	error: aliasing values passed immutably to 'v' argument and constructed as a result in 'takes' call
assets/ownership_error/comprehension_interior_invalidation.mojo	runs	subset	the pin runs it; Mojito rejects: invalidated interior reference
assets/ownership_error/conditional_move.mojo	compile-reject	agree	error: use of uninitialized value 'a'
assets/ownership_error/deinit_receiver_raising_in_try.mojo	compile-reject	agree	error: use of uninitialized value 'o'
assets/ownership_error/dict_comprehension_source_mutation.mojo	compile-reject	agree	error: 'Dict' parameter 'K' has 'KeyElement' type, but value has type 'AnyStruct[StringLiteral[_]]'
assets/ownership_error/dict_setitem_during_iteration.mojo	runs	subset	the pin runs it; Mojito rejects: invalidated interior reference
assets/ownership_error/double_move.mojo	compile-reject	agree	error: use of uninitialized value 'a'
assets/ownership_error/double_move_in_try.mojo	compile-reject	agree	error: use of uninitialized value 's'
assets/ownership_error/element_call_after_container_move.mojo	compile-reject	agree	error: use of uninitialized value 'objs'
assets/ownership_error/interior_pointer_offset_stale.mojo	compile-reject	agree	error: use of a never-initialized interior reference 'self_is_origin["items"]'
assets/ownership_error/interior_pointer_stale_after_mutation.mojo	compile-reject	agree	error: use of a never-initialized interior reference 'self_is_origin["items"]'
assets/ownership_error/interior_view_consume_after_mutation.mojo	compile-reject	agree	error: no matching function in initialization
assets/ownership_error/interior_view_destroy_after_mutation.mojo	compile-reject	agree	error: no matching function in initialization
assets/ownership_error/list_extend_consumes.mojo	compile-reject	agree	error: use of uninitialized value 'b'
assets/ownership_error/method_on_moved.mojo	compile-reject	agree	error: use of uninitialized value 'p'
assets/ownership_error/move_in_loop.mojo	compile-reject	agree	error: use of uninitialized value 'a'
assets/ownership_error/origin_delegated_parameter_receiver_source_mutation.mojo	runs	subset	the pin runs it; Mojito rejects: conflicts with live reference
assets/ownership_error/pack_struct_use_after_move.mojo	compile-reject	agree	error: use of uninitialized value 'p'
assets/ownership_error/partial_move_field_use.mojo	compile-reject	agree	error: use of uninitialized value 'p.a.id'
assets/ownership_error/pointer_field_iterator_source_mutation.mojo	runs	subset	the pin runs it; Mojito rejects: conflicts with live reference
assets/ownership_error/pointer_to_owner_twice_then_mutation.mojo	runs	subset	the pin runs it; Mojito rejects: conflicts with live reference
assets/ownership_error/pointer_to_ref_second_write_rejected.mojo	runs	subset	the pin runs it; Mojito rejects: invalidated interior reference
assets/ownership_error/pointer_to_ref_stale_after_owner_mutation.mojo	runs	subset	the pin runs it; Mojito rejects: invalidated interior reference
assets/ownership_error/reference_loop_element_held_across_append.mojo	runs	subset	the pin runs it; Mojito rejects: invalidated interior reference
assets/ownership_error/reference_row_iteration_invalidated_by_row_append.mojo	runs	subset	the pin runs it; Mojito rejects: invalidated interior reference
assets/ownership_error/use_after_move.mojo	compile-reject	agree	error: use of uninitialized value 'a'
assets/ownership_error/use_after_move_after_try.mojo	compile-reject	agree	error: use of uninitialized value 's'
assets/ownership_error/use_after_move_arg.mojo	runs	divergence	the pin runs it; Mojito rejects: use of uninitialized value 'a'
assets/ownership_error/use_after_move_in_try_else.mojo	compile-reject	agree	error: use of uninitialized value 's'
assets/ownership_error/use_after_move_in_try_handler.mojo	compile-reject	agree	error: use of uninitialized value 's'
assets/ownership_error/write_through_moved.mojo	compile-reject	agree	error: value 'p' cannot be consumed, because 'p.x' is used later
assets/parse_error/bare_kwargs_requires_var.mojo	compile-reject	agree	error: variadic keyword arguments only support the 'var' convention; add 'var' before '**'
assets/parse_error/comptime_if_module_level.mojo	compile-reject	agree	error: 'comptime if' must be contained in a function
assets/parse_error/lambda_missing_colon.mojo	compile-reject	agree	error: unknown function effect 'x', expected 'raises', 'capturing', or 'thin'
assets/parse_error/lambda_unparenthesized_args.mojo	compile-reject	agree	error: unparenthesized lambda arguments are not supported; write them in parentheses, with types, e.g. `lambda (x: Int, y: Int) -> Int: x + y`
assets/parse_error/missing_colon.mojo	compile-reject	agree	error: expected ':' in function definition
assets/parse_error/parameter_closure_capture_list.mojo	compile-reject	agree	error: expected ':' in function definition
assets/parse_error/read_convention_removed.mojo	compile-reject	agree	error: 'read' was removed; use 'imm'
assets/parse_error/unified_capture_list_removed.mojo	compile-reject	agree	error: unknown function effect 'unified', expected 'raises', 'capturing', or 'thin'
assets/runtime_error/allocation_use_after_dealloc.mojo	runs	subset	the pin runs it; Mojito rejects: use after Pointer deallocation
assets/runtime_error/div_by_zero.mojo	runs	subset	the pin runs it; Mojito traps on integer division by zero
assets/runtime_error/file_open_invalid_mode.mojo	trap	agree	invalid mode: "z". Can only be one of: {"r", "w", "rw", "a"}
assets/runtime_error/file_open_missing.mojo	trap	agree	Failed to open file 'mojito_missing_dir/nothing.txt': No such file or directory
assets/runtime_error/file_read_closed_handle.mojo	trap	agree	invalid file handle
assets/runtime_error/file_read_write_only_handle.mojo	trap	agree	Failed to read from file: Bad file descriptor
assets/runtime_error/list_contiguous_slice_negative.mojo	trap	agree	error: execution crashed
assets/runtime_error/list_contiguous_slice_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/list_contiguous_slice_reversed.mojo	trap	agree	error: execution crashed
assets/runtime_error/list_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/maybe_uninit_deinit_uninitialized.mojo	runs	subset	the pin runs it; Mojito rejects: destroy of uninitialized MaybeUninit storage
assets/runtime_error/maybe_uninit_read_uninitialized.mojo	runs	subset	the pin runs it; Mojito rejects: read of uninitialized MaybeUninit storage
assets/runtime_error/maybe_uninit_take_uninitialized.mojo	runs	subset	the pin runs it; Mojito rejects: take of uninitialized MaybeUninit storage
assets/runtime_error/nominal_string_byte_slice_boundary.mojo	trap	agree	error: execution crashed
assets/runtime_error/nominal_string_byte_slice_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/nominal_string_codepoint_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/nominal_string_grapheme_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/nominal_string_justify_fillchar.mojo	runs	divergence	the pin runs it; Mojito rejects: abort: fill char needs to be a one byte literal
assets/runtime_error/nominal_string_resize_boundary.mojo	trap	agree	error: execution crashed
assets/runtime_error/optional_deinit_assert_empty_nonempty_aborts.mojo	compile-reject	missing-import	error: unable to locate module 'optional'
assets/runtime_error/optional_take_empty_aborts.mojo	compile-reject	missing-import	error: unable to locate module 'optional'
assets/runtime_error/pliron_raise_error_value.mojo	trap	agree	boom from a var
assets/runtime_error/pliron_raise_iter_body.mojo	trap	agree	boom at 2
assets/runtime_error/pliron_raise_iter_stop_unhandled.mojo	compile-reject	iterator-protocol	error: unable to locate module 'iterable'
assets/runtime_error/pliron_raise_unhandled.mojo	trap	agree	negative input
assets/runtime_error/pliron_trap_div_zero.mojo	runs	subset	the pin runs it; Mojito rejects: integer division or modulo by zero
assets/runtime_error/pliron_trap_mod_zero.mojo	runs	subset	the pin runs it; Mojito rejects: integer division or modulo by zero
assets/runtime_error/pliron_trap_pow_negative.mojo	runs	subset	the pin runs it; Mojito rejects: '**' exponent must be a non-negative Int
assets/runtime_error/pliron_trap_uint_div_zero.mojo	runs	subset	the pin runs it; Mojito rejects: integer division or modulo by zero
assets/runtime_error/pointer_dangling.mojo	trap	agree	error: execution crashed
assets/runtime_error/pointer_double_free.mojo	runs	subset	the pin runs it; Mojito rejects: double free
assets/runtime_error/pointer_use_after_free.mojo	runs	subset	the pin runs it; Mojito rejects: use after
assets/runtime_error/span_index_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/span_slice_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/string_span_grapheme_slice_out_of_range.mojo	trap	agree	error: execution crashed
assets/runtime_error/walrus.mojo	trap	agree	boom
assets/type_error/absable_no_power.mojo	compile-reject	agree	error: 'T' does not implement the '__pow__' method
assets/type_error/advanced_origins_untracked_local.mojo	compile-reject	agree	error: invalid call to 'observe_untracked': value passed to 'value' cannot be converted from 'Int' to ref 'Int'
assets/type_error/allocation_implicit_drop.mojo	compile-reject	agree	error: 'allocation' abandoned without being explicitly destroyed: An `Allocation` owns heap storage and must be consumed before it goes out of scope. Deallocate it with `dealloc(allocation^)`, or call `unsafe_leak()` to take ownership of the underlying pointer.
assets/type_error/ambiguous_implicit_conversion.mojo	runs	divergence	the pin runs it; Mojito rejects: ambiguous implicit conversion
assets/type_error/anytype_no_len.mojo	compile-reject	agree	error: no matching function in call to 'len'
assets/type_error/array_display_length_mismatch.mojo	compile-reject	agree	error: no matching function in initialization
assets/type_error/array_display_requires_movable_element.mojo	compile-reject	agree	error: no matching function in initialization
assets/type_error/array_element_assignment_immutable.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/type_error/array_linear_element_needs_explicit_destroy.mojo	compile-reject	agree	error: 'a' abandoned without being explicitly destroyed: Use `deinit_with()` to explicitly destroy an `Array` of non-`Deinitable` elements
assets/type_error/associated_value_in_type_position.mojo	compile-reject	agree	error: expected a type, not a value
assets/type_error/bad_operator.mojo	compile-reject	agree	error: no matching method in call to '__add__'
assets/type_error/bare_move_initializer.mojo	compile-reject	agree	error: 'move' argument must be passed as 'deinit'
assets/type_error/bare_reference_list_parameter.mojo	compile-reject	agree	error: cannot declare 'Int' without a contextual type from its initializer
assets/type_error/boolable_required_for_bool.mojo	compile-reject	agree	error: no matching function in initialization
assets/type_error/captured_origin_specialization_rejected.mojo	compile-reject	agree	error: member method closures are not supported; add '()' to call '__call__'
assets/type_error/capturing_closure_plain_def_param.mojo	compile-reject	agree	error: invalid call to '__call__': value cannot be converted from type value '$0' to an instance of '$0'; did you mean to instantiate '$0'?
assets/type_error/capturing_field_rejected.mojo	compile-reject	agree	error: function type missing required origin set parameter
assets/type_error/closure_capturing_loop_ref_escapes.mojo	compile-reject	agree	error: cannot implicitly convert 'def() -> Int' value to 'Int'
assets/type_error/comptime_alias_constraint_message.mojo	compile-reject	agree	error: violated constraint
assets/type_error/comptime_alias_value_body.mojo	runs	divergence	the pin runs it; Mojito rejects: a generic comptime alias must be defined by a type
assets/type_error/comptime_alias_value_body_non_bool.mojo	runs	divergence	the pin runs it; Mojito rejects: must be defined by a type or a Bool proposition
assets/type_error/comptime_collection_runtime_use.mojo	compile-reject	agree	error: cannot materialize comptime value of type 'Dict[String, Int]' to runtime because it is not 'ImplicitlyCopyable'
assets/type_error/comptime_constants.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/type_error/comptime_dict_raising_subscript.mojo	compile-reject	agree	error: cannot call raising function in comptime initializer
