# Mojito CPU-language parity manifest
# schema-version	2
# reference-version	Mojo 1.1.0.dev2026080805
# reference-build	nightly-2026-08-08
# reference-date	2026-08-08
# manual-version	1.0.0b2
# manual-root	https://mojolang.org/docs/manual/
# inventory-date	2026-07-26
# nightly-release	https://mojolang.org/releases/nightly/
# nightly-audit	docs/mojo-nightly.md
# coverage	complete at manual-section and practical feature-family granularity
#
# status: implemented, partial, excluded, stretch
# scope: first-pass, excluded, post-native
# relation: match, subset, divergence, representation, excluded, stretch
# evidence: semicolon-separated case:, test:, docs:, or manual: references
id	area	status	scope	relation	mojo_behavior	mojito_behavior	evidence	notes
syntax.indentation	frontend	implemented	first-pass	match	Indentation delimits suites and continuation rules suppress logical newlines.	Lexer implements indentation, dedentation, continuations, comments, and bracket suppression.	case:line-continuation;test:tests/lexer_test.rs;manual:basics	
syntax.literals	frontend	implemented	first-pass	match	Supports integer, floating, boolean, raw/multiline/adjacent string, and interpolated literal families; Byte is an alias of UInt8, not a byte-string syntax.	Lexes and runs current numeric spellings, Byte/UInt8 values, adjacent ordinary or t-string families, and nested lexical interpolation boundaries.	case:literal-families;test:tests/lexer_test.rs;test:tests/parser_test.rs;docs:docs/features.md;manual:types	Exact numeric semantics are recorded separately below; lazy/self-hosted string representation remains CPU-semantic work.
syntax.identifiers	frontend	implemented	first-pass	match	Identifiers include keyword stropping for names that would otherwise be reserved. The predefined words `class`, `del`, `match`, and `yield` remain identifier tokens but cannot name free or nested functions; `match` remains valid as a method name.	Identifiers and stropped names parse, check, mangle, and execute; `class`, `del`, `match`, and `yield` stay lexer-level identifiers and are rejected contextually as free or nested function names, while `match` remains valid as a method name.	test:tests/lexer_test.rs;test:tests/symbol_test.rs;test:tests/checker_test.rs;test:tests/corpus_test.rs;case:integer-arithmetic;case:reserved-word-function-name;case:reserved-method-name;docs:docs/features.md;manual:basics	Free/nested rejection and method acceptance are pinned separately; latest local Mojo 1.1.0.dev2026080805 also rejects nested `def match`.
syntax.module-scope	frontend	implemented	first-pass	match	Runtime statements are forbidden at file scope; declarations and compile-time bindings are allowed.	Production compilation rejects executable file-scope statements.	case:file-scope-execution;test:tests/compiler_test.rs;manual:modules	Legacy phase tests may opt into a non-conforming snippet mode.
functions.def	functions	implemented	first-pass	match	`def` declares functions and methods with typed arguments and optional result types.	Ordinary `def` functions and methods check and execute.	case:hello-world;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:functions	
functions.fn-removed	functions	implemented	first-pass	match	The removed legacy `fn` keyword is rejected; `def` is the sole function-declaration keyword.	Legacy `fn` declarations are rejected by the parser.	case:legacy-fn;docs:grammar.md;manual:functions	Compatibility is rejection parity, not an implementation target.
syntax.unified-captures-legacy	frontend	implemented	first-pass	match	The removed `unified` keyword is rejected; current closures place `{...}` directly after declaration effects.	Mojito rejects the removed `unified` spelling with a contextual parse error pointing at the current post-effects `{...}` position.	case:unified-capture-lists;test:tests/parser_test.rs;docs:grammar.md;manual:closures	Canonical capture syntax and semantics are recorded under ownership.closures.
functions.captured-origin-specialization-extension	functions	implemented	first-pass	match	The pinned nightly accepts explicit Origin specialization of a stateless nested function but rejects materializing the same specialization when that nested function has a capture environment.	Mojito materializes stateless nested Origin specializations and rejects the captured form with a contextual diagnostic naming the capture environment.	case:captured-nested-origin-specialization;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:functions	Direct specialized calls of capturing nested functions remain ordinary calls; only value materialization is gated.
functions.arguments	functions	implemented	first-pass	match	Supports positional-only, keyword-only, default, and keyword arguments.	Shared call binding supports `/`, `*`, defaults, and keywords.	case:default-arguments;case:keyword-arguments;case:positional-and-keyword-only;case:positional-only-by-keyword;case:keyword-only-by-position;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:functions	
functions.variadics-homogeneous	functions	implemented	first-pass	match	Homogeneous variadic positional collectors and consuming `var **kwargs` keyword collectors bind repeated values; an owned keyword dictionary forwards with `**kwargs^`. Function types retain the keyword-variadic role.	Homogeneous `*args` and canonical `var **kwargs` run across free, generic, instance, static, bounded-trait, and indirect calls; bare declaration-side `**kwargs` rejects. Positional collectors remain homogeneous lists even when their element type is itself `Tuple[...]`; keyword collectors are owned insertion-ordered `StringDict[T]` values. Callable ABI identity distinguishes a keyword collector from a same-typed ordinary parameter, and consuming forwarding reuses the shared binder and effect/origin checks.	case:homogeneous-variadics;case:homogeneous-tuple-variadic;case:bare-kwargs-requires-var;case:function-typed-kwargs;case:kwargs-forwarding;case:kwargs-call-kinds;test:tests/parser_test.rs;test:tests/checker_test.rs;test:tests/symbol_test.rs;test:tests/drops_test.rs;test:tests/self_host_test.rs;test:tests/corpus_test.rs;docs:docs/features.md;manual:functions	The VM transports unmatched keyword pairs in an internal ordered ABI before constructing the source-visible collector; specialized heterogeneous packs carry a distinct checked ABI.
